customer_id,customer_name,country,date_of_birth,gender,address,id_number,customer_type,onboarding_date,risk_category
CUS141001,Juann Carlos Montoya Sanchez,Syria,28-08-1990,Female,"129 Central Lane, Aleppo, Syria",NU8599392,Individual,15-08-2016,High
CUS141002,Brigitte Macron,France,13-04-1953,Female,"930 River Court, Lyon, France",VS9359309,Individual,16-08-2016,Medium
CUS141003,Ivan Ivanov,Saudi Arabia,22-07-1948,Male,"2 King Avenue, Jeddah, Saudi Arabia",CI1751490,Individual,19-02-2023,Low
CUS141004,Svetlana Johnson,Saudi Arabia,31-07-1951,Female,"848 River Street, Jeddah, Saudi Arabia",LZ4036353,Individual,02-12-2015,Medium
CUS141005,Nadia Park,Syria,02-12-1952,Female,"83 King Avenue, Latakia, Syria",WO1029427,Individual,18-12-2024,Low
CUS141006,Amir Nwosu,Japan,09-10-1961,Male,"593 Central Way, Nagoya, Japan",QG2554150,Individual,07-09-2015,Low
CUS141007,Noah Andersen,Ethiopia,18-10-1966,Male,"668 River Street, Addis Ababa, Ethiopia",NA4409773,Individual,18-09-2021,Low
CUS141008,Nadia Tanaka,Germany,24-12-1976,Female,"107 King Boulevard, Berlin, Germany",VQ0831499,Business,07-09-2022,Low
CUS141009,Chen Silva,Malaysia,21-05-1954,Male,"393 King Road, Kuala Lumpur, Malaysia",FX1398926,Business,06-10-2022,Low
CUS141010,Leila Kim,Syria,16-12-1995,Female,"443 Oak Court, Latakia, Syria",CQ7701767,Individual,12-03-2016,Low
CUS141011,Viktor Georgiyevich Viktoer,South Korea,15-12-2007,Male,"11 King Drive, Seoul, South Korea",AH6100892,Business,14-03-2020,High
CUS141012,Chloe Fernandez,Germany,15-02-1990,Female,"242 Main Street, Frankfurt, Germany",TZ4796342,Individual,30-04-2019,Low
CUS141013,Aisha Fernandez,France,07-11-1969,Female,"106 Central Avenue, Paris, France",AC6426601,Individual,10-03-2024,Low
CUS141014,Yusuf Nwosu,Kenya,03-01-1949,Male,"598 Queen Lane, Kisumu, Kenya",TB5749199,Individual,28-09-2017,Low
CUS141015,Siti Kumar,Italy,05-05-1991,Female,"557 Central Street, Milan, Italy",JI8747340,Individual,08-11-2024,Low
CUS141016,Amina Kowalski,Ghana,10-10-1970,Female,"301 Hill Street, Accra, Ghana",GS5084714,Business,30-05-2020,Low
CUS141017,K. Yo-jong,North Korea,26-09-1987,Female,"569 Lake Drive, Capital City, North Korea",DK4580614,Individual,20-07-2016,High
CUS141018,Lucas Okafor,Spain,02-12-1948,Male,"590 Queen Boulevard, Madrid, Spain",VM9154595,Business,25-11-2019,Low
CUS141019,Mei Müller,Saudi Arabia,31-01-2002,Female,"559 King Avenue, Mecca, Saudi Arabia",TR5391387,Individual,31-01-2016,Low
CUS141020,Kwame Bakshi,Russia,26-01-1988,Male,"443 Park Road, Novosibirsk, Russia",LF1396869,Business,30-08-2022,Low
CUS141021,Carlos Kim,Turkey,19-07-1953,Male,"297 Green Way, Izmir, Turkey",WG2027815,Individual,18-07-2023,Low
CUS141022,James Nguyen,Japan,14-03-1995,Male,"27 King Street, Osaka, Japan",AE9434276,Business,10-11-2023,Low
CUS141023,Arjun Bakshi,South Korea,03-04-2001,Male,"260 Hill Lane, Incheon, South Korea",YS9048332,Individual,11-02-2018,Low
CUS141024,Lucas Martinez,Russia,27-11-1980,Male,"53 River Road, Moscow, Russia",ET3836158,Individual,30-07-2018,Low
CUS141025,Xiaoxun Hu,Nigeria,07-09-1957,Female,"822 Hill Avenue, Lagos, Nigeria",GT6584706,Business,14-09-2024,High
CUS141026,Priya Nguyen,Kenya,28-12-1959,Female,"394 Oak Avenue, Nairobi, Kenya",GA2555292,Individual,22-07-2020,Low
CUS141027,Chloe Müller,France,05-12-1971,Female,"153 King Lane, Paris, France",PS0114753,Individual,27-07-2017,Low
CUS141028,Trabelsi Ben Mohamed Chabaane,Nigeria,26-10-1973,Female,"175 Oak Lane, Abuja, Nigeria",WJ0626496,Individual,18-07-2016,High
CUS141029,Nicolas Ernesto Maduro Guerra,Nigeria,26-07-1995,Female,"392 Central Boulevard, Abuja, Nigeria",HP6320702,Individual,05-07-2020,High
CUS141030,Mei Tanaka,UK,20-06-1970,Female,"825 Main Road, Manchester, UK",GV3293268,Business,15-12-2021,Low
CUS141031,Tariq Moreira,UAE,31-08-1982,Male,"46 Hill Way, Abu Dhabi, UAE",DO2055259,Individual,30-01-2018,Medium
CUS141032,Miriam Smith,Egypt,16-05-2003,Female,"465 Central Court, Giza, Egypt",DX3710340,Individual,06-09-2023,Low
CUS141033,G. Darmanin,France,11-10-1982,Male,"149 Oak Court, Paris, France",BQ2592728,Individual,03-05-2020,High
CUS141034,Ahmed Bakshi,Russia,19-05-1998,Male,"296 Lake Avenue, Moscow, Russia",JX6494606,Individual,21-03-2022,Low
CUS141035,Oliver Okafor,France,03-05-1956,Male,"39 Green Boulevard, Lyon, France",CS0437476,Individual,13-02-2017,Low
CUS141036,Amina Park,Brazil,14-06-1967,Female,"554 Queen Lane, São Paulo, Brazil",OK0869273,Business,28-09-2022,Low
CUS141037,Ivan Reyes,Syria,07-02-1971,Male,"749 Park Drive, Latakia, Syria",RH8102745,Individual,21-07-2018,Low
CUS141038,Arjun Smith,China,16-03-1970,Male,"420 Central Lane, Shenzhen, China",FX2598608,Individual,30-03-2022,Low
CUS141039,Hassan Singh,South Korea,19-08-2000,Male,"333 Park Lane, Busan, South Korea",SK6308829,Individual,06-03-2015,Low
CUS141040,Jiha Jha,India,22-02-1964,Male,"772 King Road, Bangalore, India",KX8576536,Individual,04-07-2020,High
CUS141041,Felix Chen,France,09-07-1978,Male,"326 Main Court, Paris, France",PZ4771873,Individual,23-10-2022,Low
CUS141042,Elena Park,India,10-08-1967,Female,"825 River Lane, Chennai, India",OY7402273,Individual,11-02-2017,Low
CUS141043,Andrei Singh,Japan,03-11-1951,Male,"737 Park Boulevard, Nagoya, Japan",PE1913247,Individual,22-03-2020,Medium
CUS141044,Isabella Andersen,South Africa,21-11-1998,Female,"439 King Boulevard, Johannesburg, South Africa",WH6482420,Individual,15-04-2024,Low
CUS141045,Maria Alejandrina Salazar Hernandez,Russia,29-04-1980,Male,"705 Oak Court, Novosibirsk, Russia",QU9858625,Individual,07-07-2017,High
CUS141046,Dmitri Rossi,Mexico,27-08-1957,Male,"546 Oak Boulevard, Monterrey, Mexico",EV8218790,Business,29-04-2017,Medium
CUS141047,Arvind Sawant,India,23-03-1951,Male,"649 Park Boulevard, Chennai, India",HH7079591,Individual,27-04-2023,Medium
CUS141048,Adaeze Müller,Malaysia,15-03-1948,Female,"176 Queen Court, Penang, Malaysia",FG0469446,Individual,10-06-2019,Low
CUS141049,Kwame Kowalski,Indonesia,03-07-1954,Male,"213 Oak Way, Jakarta, Indonesia",XF1949454,Business,01-09-2024,Low
CUS141050,Valentina Singh,Brazil,22-11-1977,Female,"325 Main Lane, Brasília, Brazil",YY7546975,Individual,08-04-2019,Low
CUS141051,Lucas Garcia,Pakistan,05-04-1953,Male,"217 Oak Boulevard, Islamabad, Pakistan",EP8643164,Individual,05-04-2022,Low
CUS141052,Elena Okafor,Iran,14-06-2003,Female,"75 River Way, Tabriz, Iran",YM7768920,Individual,14-02-2016,Low
CUS141053,Gennady Andreyevich Zyuganov,Russia,22-07-2005,Male,"767 Main Lane, Kazan, Russia",ZK3712390,Individual,20-05-2022,High
CUS141054,Aisha Brown,Bangladesh,03-09-2001,Female,"708 Green Lane, Chittagong, Bangladesh",CD1861041,Individual,11-06-2024,Low
CUS141055,Dmitri Kowalski,Indonesia,07-05-1947,Male,"968 Queen Way, Jakarta, Indonesia",KR6808537,Business,28-10-2020,Low
CUS141056,Licoona Lechuga Licona,Italy,17-10-1978,Male,"494 Oak Drive, Rome, Italy",BS8773099,Business,13-03-2024,High
CUS141057,Grace Park,Mexico,18-11-1999,Female,"57 Oak Boulevard, Monterrey, Mexico",VM4657403,Business,09-09-2024,Low
CUS141058,Patrick Nwosu,Saudi Arabia,12-01-1982,Male,"475 Green Way, Mecca, Saudi Arabia",DQ1353155,Individual,25-10-2022,Low
CUS141059,Ana Gabriela Rubio Zea,Canada,24-12-1980,Male,"406 Park Way, Vancouver, Canada",DP8089368,Individual,07-12-2021,High
CUS141060,Alvaraado Leon Alvarado,Syria,25-02-1949,Female,"685 King Court, Damascus, Syria",ZF9590585,Individual,04-02-2024,High
CUS141061,Leila Smith,Japan,09-07-1988,Female,"542 Green Drive, Kyoto, Japan",FY1663158,Individual,26-03-2017,Low
CUS141062,Felix Silva,Mexico,11-08-1982,Male,"387 Park Way, Puebla, Mexico",AC5639776,Individual,20-06-2015,Low
CUS141063,Ahmed M. M. Alaqad,Nigeria,06-07-1946,Female,"967 King Lane, Port Harcourt, Nigeria",DD8426379,Business,09-01-2021,High
CUS141064,Kenji Reyes,China,02-09-1975,Male,"8 Green Boulevard, Shanghai, China",ZV3629713,Business,17-07-2017,Low
CUS141065,Azim Mionzavi,Ghana,20-04-1948,Female,"435 Lake Boulevard, Kumasi, Ghana",PN7188104,Business,15-06-2015,High
CUS141066,Mikhail Gregorovich,Belarus,23-11-1960,Male,"702 Green Lane, Capital City, Belarus",LO7650037,Individual,25-10-2017,High
CUS141067,Olga Singh,Brazil,13-01-1956,Female,"597 Queen Avenue, Rio de Janeiro, Brazil",MH4176712,Individual,06-01-2021,Low
CUS141068,Nihat Abdul Niohat Asan,Ghana,03-01-1972,Female,"260 Lake Drive, Tamale, Ghana",OZ8356914,Business,19-11-2020,High
CUS141069,Maria Wang,Turkey,23-10-1988,Female,"464 Green Road, Istanbul, Turkey",WA6291593,Individual,07-08-2023,Low
CUS141070,Erken Tuniyaz,Venezuela,09-12-1958,Male,"146 Green Way, Barquisimeto, Venezuela",AC3779171,Individual,30-09-2018,High
CUS141071,Nkechi Reyes,Italy,23-07-1955,Female,"919 Central Road, Turin, Italy",MC0394791,Individual,09-04-2020,Low
CUS141072,Larissa Bakshi,India,22-08-1971,Female,"132 River Road, Delhi, India",GS1703249,Individual,22-07-2019,Low
CUS141073,Sofia Chen,Turkey,15-06-2005,Female,"45 Oak Boulevard, Istanbul, Turkey",WF4058657,Individual,09-02-2019,Low
CUS141074,Hana Brown,Canada,02-07-2007,Female,"403 Lake Drive, Montreal, Canada",YI2139618,Business,28-09-2021,Low
CUS141075,Yadavv Pratap Yadav,India,09-10-1989,Male,"974 Lake Lane, Mumbai, India",YI4377431,Individual,03-02-2016,Medium
CUS141076,Sulle Sule,India,30-06-1969,Female,"108 King Drive, Mumbai, India",AF3550634,Individual,10-06-2017,Medium
CUS141077,Sara Fernandez,China,05-07-1969,Female,"85 Oak Boulevard, Shanghai, China",FF8858915,Individual,03-03-2020,Low
CUS141078,Dmitri Nwosu,Italy,23-04-1954,Male,"643 Park Boulevard, Naples, Italy",WP7902586,Individual,02-11-2023,Medium
CUS141079,Nadia Brown,Germany,10-05-2001,Female,"961 King Court, Hamburg, Germany",UY6021947,Individual,29-08-2015,Medium
CUS141080,Yuki Ito,Italy,08-02-1963,Female,"217 Lake Court, Milan, Italy",AZ6274546,Individual,29-02-2016,Medium
CUS141081,Ricardo Nwosu,Brazil,18-11-1962,Male,"574 Lake Court, Salvador, Brazil",PI0286840,Individual,12-04-2018,Low
CUS141082,Rania Moreira,Nigeria,24-08-2003,Female,"501 Hill Way, Kano, Nigeria",GG2988446,Individual,16-06-2022,Low
CUS141083,Ariel Volfovich,Russia,03-11-1988,Male,"703 King Boulevard, Kazan, Russia",KO2875543,Individual,26-04-2020,High
CUS141084,Omid Yazdanparast,Syria,06-01-1993,Male,"30 River Court, Latakia, Syria",CB4181347,Business,09-10-2017,High
CUS141085,Noah Tanaka,Malaysia,14-07-1961,Male,"943 Park Way, Penang, Malaysia",IF1792526,Individual,02-11-2023,Low
CUS141086,Diego Ali,Mexico,10-02-1997,Male,"168 River Court, Mexico City, Mexico",TC4902596,Individual,15-06-2017,Low
CUS141087,Hassan Reyes,UAE,14-06-1962,Male,"273 Main Drive, Dubai, UAE",TC3996429,Business,12-04-2022,Low
CUS141088,Wei Fernandez,Mexico,14-03-1960,Male,"733 Hill Avenue, Guadalajara, Mexico",ZJ4499650,Individual,03-02-2015,Medium
CUS141089,Kwame Nwosu,Bangladesh,24-12-2002,Male,"466 Green Drive, Dhaka, Bangladesh",GZ0378240,Individual,03-09-2024,Low
CUS141090,Sara Fernandez,Spain,29-01-1961,Female,"385 River Avenue, Barcelona, Spain",PK7379241,Individual,16-06-2021,Low
CUS141091,Fatima Johnson,Brazil,23-01-1992,Female,"344 Green Street, Salvador, Brazil",OK3653375,Individual,08-03-2020,Low
