customer_id,customer_name,country,date_of_birth,gender,address,id_number,customer_type,onboarding_date,risk_category,matched_name,match_score,list_source,matched_sdn_program,matched_pep_details,screening_risk_level,final_decision
CUS141001,Juann Carlos Montoya Sanchez,Syria,28-08-1990,Female,"129 Central Lane, Aleppo, Syria",NU8599392,Individual,15-08-2016,High,"MONTOYA SANCHEZ, JUAN CARLOS",98,SANCTIONS,SDNT,,CRITICAL,BLOCK - Manual Review Required
CUS141002,Brigitte Macron,France,13-04-1953,Female,"930 River Court, Lyon, France",VS9359309,Individual,16-08-2016,Medium,None,60,None,,,LOW,APPROVE
CUS141003,Ivan Ivanov,Saudi Arabia,22-07-1948,Male,"2 King Avenue, Jeddah, Saudi Arabia",CI1751490,Individual,19-02-2023,Low,None,73,None,,,LOW,APPROVE
CUS141004,Svetlana Johnson,Saudi Arabia,31-07-1951,Female,"848 River Street, Jeddah, Saudi Arabia",LZ4036353,Individual,02-12-2015,Medium,None,60,None,,,LOW,APPROVE
CUS141005,Nadia Park,Syria,02-12-1952,Female,"83 King Avenue, Latakia, Syria",WO1029427,Individual,18-12-2024,Low,None,70,None,,,LOW,APPROVE
CUS141006,Amir Nwosu,Japan,09-10-1961,Male,"593 Central Way, Nagoya, Japan",QG2554150,Individual,07-09-2015,Low,None,67,None,,,LOW,APPROVE
CUS141007,Noah Andersen,Ethiopia,18-10-1966,Male,"668 River Street, Addis Ababa, Ethiopia",NA4409773,Individual,18-09-2021,Low,None,62,None,,,LOW,APPROVE
CUS141008,Nadia Tanaka,Germany,24-12-1976,Female,"107 King Boulevard, Berlin, Germany",VQ0831499,Business,07-09-2022,Low,None,67,None,,,LOW,APPROVE
CUS141009,Chen Silva,Malaysia,21-05-1954,Male,"393 King Road, Kuala Lumpur, Malaysia",FX1398926,Business,06-10-2022,Low,None,67,None,,,LOW,APPROVE
CUS141010,Leila Kim,Syria,16-12-1995,Female,"443 Oak Court, Latakia, Syria",CQ7701767,Individual,12-03-2016,Low,"KARIMI, LEILA",86,SANCTIONS,"SDGT, IFSR",,HIGH,HOLD - Enhanced Verification
CUS141011,Viktor Georgiyevich Viktoer,South Korea,15-12-2007,Male,"11 King Drive, Seoul, South Korea",AH6100892,Business,14-03-2020,High,"SPIRIDONOV, VIKTOR GEORGIYEVICH",77,SANCTIONS,RUSSIA-EO14024,,MEDIUM,REVIEW - Secondary Check
